	AK_2015_36	AK_2015_37	AK_2015_38	AK_2015_39	AK_2015_40	AK_2015_41	AK_2015_42	AK_2015_43	AK_2015_44	AK_2015_45	AK_2015_46	AK_2015_47	AK_2015_48
AK_2015_36	0	0.091980786	0.154434555	0.083942718	0.096689422	0.124660199	0.167571213	0.067404879	0.248638972	0.100955183	0.115674091	0.171341751	0.131152879
AK_2015_37	0.091980786	0	0.188312032	0.099838982	0.122080395	0.117703253	0.22107987	0.106922305	0.309690675	0.163071571	0.188408907	0.243463133	0.192862535
AK_2015_38	0.154434555	0.188312032	0	0.206970655	0.211536798	0.11635956	0.0601835	0.175819495	0.261239995	0.11245295	0.151756392	0.186849296	0.063798033
AK_2015_39	0.083942718	0.099838982	0.206970655	0	0.079487016	0.195070987	0.199001228	0.075276219	0.268333831	0.134906422	0.13807568	0.183083534	0.182115224
AK_2015_40	0.096689422	0.122080395	0.211536798	0.079487016	0	0.196729948	0.207189252	0.072832879	0.208686124	0.13983184	0.106346019	0.137394768	0.177634158
AK_2015_41	0.124660199	0.117703253	0.11635956	0.195070987	0.196729948	0	0.154884581	0.167227307	0.289249192	0.13220294	0.16869393	0.22328012	0.13705269
AK_2015_42	0.167571213	0.22107987	0.0601835	0.199001228	0.207189252	0.154884581	0	0.163871335	0.230217473	0.092776184	0.141486455	0.170915531	0.069700787
AK_2015_43	0.067404879	0.106922305	0.175819495	0.075276219	0.072832879	0.167227307	0.163871335	0	0.233162278	0.08205684	0.111060522	0.152983632	0.145483825
AK_2015_44	0.248638972	0.309690675	0.261239995	0.268333831	0.208686124	0.289249192	0.230217473	0.233162278	0	0.21026038	0.156188478	0.117461597	0.213070079
AK_2015_45	0.100955183	0.163071571	0.11245295	0.134906422	0.13983184	0.13220294	0.092776184	0.08205684	0.21026038	0	0.094371088	0.130077065	0.084440293
AK_2015_46	0.115674091	0.188408907	0.151756392	0.13807568	0.106346019	0.16869393	0.141486455	0.111060522	0.156188478	0.094371088	0	0.06506355	0.120296963
AK_2015_47	0.171341751	0.243463133	0.186849296	0.183083534	0.137394768	0.22328012	0.170915531	0.152983632	0.117461597	0.130077065	0.06506355	0	0.15286644
AK_2015_48	0.131152879	0.192862535	0.063798033	0.182115224	0.177634158	0.13705269	0.069700787	0.145483825	0.213070079	0.084440293	0.120296963	0.15286644	0
