	AK_2015_1	AK_2015_10	AK_2015_11	AK_2015_12	AK_2015_13	AK_2015_14	AK_2015_15	AK_2015_16	AK_2015_17	AK_2015_18	AK_2015_19	AK_2015_2	AK_2015_20	AK_2015_21	AK_2015_22	AK_2015_3	AK_2015_4	AK_2015_5	AK_2015_6	AK_2015_7	AK_2015_8	AK_2015_9
AK_2015_1	0	0.185440567	0.146245288	0.273071606	0.267081046	0.315246247	0.332731075	0.294678696	0.285341054	0.339958604	0.330805047	0.112880873	0.32354767	0.345286122	0.279128005	0.274640259	0.180180255	0.075132154	0.133737399	0.264587082	0.183668442	0.22357785
AK_2015_10	0.185440567	0	0.117598789	0.203235975	0.131770933	0.235525666	0.212468646	0.198816496	0.164164152	0.216348963	0.210103272	0.147093728	0.259495561	0.223234661	0.209029137	0.153324323	0.12597282	0.168438978	0.213249915	0.204274915	0.107744035	0.094447293
AK_2015_11	0.146245288	0.117598789	0	0.159312354	0.137361119	0.200116891	0.218503394	0.172447146	0.163047413	0.219263699	0.214055535	0.15173771	0.217853793	0.229801173	0.172621621	0.224630624	0.138244922	0.086787806	0.138307274	0.160991637	0.074391283	0.111359828
AK_2015_12	0.273071606	0.203235975	0.159312354	0	0.113436458	0.072339602	0.182822858	0.064878685	0.108717796	0.144018886	0.130818733	0.292398618	0.085045859	0.125797216	0.076555677	0.302533608	0.275802909	0.226561163	0.171389091	0.179891484	0.133238152	0.132857244
AK_2015_13	0.267081046	0.131770933	0.137361119	0.113436458	0	0.131828805	0.166266288	0.091882217	0.082398165	0.146008716	0.122277455	0.257861068	0.166544605	0.118297891	0.155306981	0.239941848	0.229158667	0.222050558	0.212402433	0.170636952	0.100500128	0.064160429
AK_2015_14	0.315246247	0.235525666	0.200116891	0.072339602	0.131828805	0	0.158091697	0.112598631	0.149465776	0.135910833	0.10223178	0.3344914	0.041735244	0.072149809	0.068771967	0.342700263	0.316399196	0.270684129	0.193347166	0.1671373	0.166237369	0.159937682
AK_2015_15	0.332731075	0.212468646	0.218503394	0.182822858	0.166266288	0.158091697	0	0.167276746	0.124585274	0.096764754	0.114019063	0.329812409	0.190501522	0.126006596	0.138983729	0.323311991	0.307146973	0.295814709	0.214259557	0.08994072	0.182049185	0.217617511
AK_2015_16	0.294678696	0.198816496	0.172447146	0.064878685	0.091882217	0.112598631	0.167276746	0	0.076893042	0.129284384	0.142886794	0.291491289	0.133842664	0.133372886	0.11450993	0.297119473	0.272057349	0.254317778	0.20565015	0.167346241	0.138512415	0.120791541
AK_2015_17	0.285341054	0.164164152	0.163047413	0.108717796	0.082398165	0.149465776	0.124585274	0.076893042	0	0.076316287	0.132224823	0.279761465	0.171002729	0.139447427	0.132390881	0.271451858	0.256071957	0.247822522	0.199837706	0.1425918	0.129288614	0.11376416
AK_2015_18	0.339958604	0.216348963	0.219263699	0.144018886	0.146008716	0.135910833	0.096764754	0.129284384	0.076316287	0	0.129144534	0.333895765	0.157626979	0.127634291	0.117064124	0.327456411	0.31172294	0.301833066	0.233326251	0.137934252	0.189299116	0.175229336
AK_2015_19	0.330805047	0.210103272	0.214055535	0.130818733	0.122277455	0.10223178	0.114019063	0.142886794	0.132224823	0.129144534	0	0.325142199	0.131636599	0.042549796	0.122698784	0.306554263	0.302409955	0.288832163	0.208701032	0.140533735	0.16777888	0.159825118
AK_2015_2	0.112880873	0.147093728	0.15173771	0.292398618	0.257861068	0.3344914	0.329812409	0.291491289	0.279761465	0.333895765	0.325142199	0	0.34292116	0.339631929	0.302560991	0.169193581	0.074592596	0.11309939	0.172187883	0.260854867	0.180943657	0.205625413
AK_2015_20	0.32354767	0.259495561	0.217853793	0.085045859	0.166544605	0.041735244	0.190501522	0.133842664	0.171002729	0.157626979	0.131636599	0.34292116	0	0.102202848	0.087201058	0.352024973	0.325617681	0.273740124	0.216624218	0.199001843	0.187461258	0.187395283
