	AK_2015_23	AK_2015_24	AK_2015_25	AK_2015_26	AK_2015_27	AK_2015_28	AK_2015_29	AK_2015_30	AK_2015_31	AK_2015_32	AK_2015_33	AK_2015_34	AK_2015_35
AK_2015_23	0	0.092121983	0.03566643	0.104559852	0.055515043	0.050508873	0.095097081	0.088434671	0.04022008	0.037980783	0.065818895	0.077621069	0.082127206
AK_2015_24	0.092121983	0	0.087356968	0.175104147	0.077014774	0.06109974	0.056672861	0.06235829	0.08624759	0.094614208	0.06648601	0.056191127	0.055541978
AK_2015_25	0.03566643	0.087356968	0	0.101075783	0.053731599	0.047995381	0.094788657	0.080431525	0.049122863	0.043179257	0.05566458	0.072739039	0.063202102
AK_2015_26	0.104559852	0.175104147	0.101075783	0	0.109359223	0.123061837	0.182015165	0.167911396	0.108009967	0.094806227	0.121435996	0.162637298	0.146399116
AK_2015_27	0.055515043	0.077014774	0.053731599	0.109359223	0	0.040943693	0.106596658	0.111379414	0.054310263	0.053096778	0.087351912	0.105622073	0.057024346
AK_2015_28	0.050508873	0.06109974	0.047995381	0.123061837	0.040943693	0	0.096073222	0.094330524	0.048940492	0.042371191	0.067067035	0.087115746	0.04861631
AK_2015_29	0.095097081	0.056672861	0.094788657	0.182015165	0.106596658	0.096073222	0	0.040615829	0.082925578	0.102313763	0.071988924	0.050906867	0.088370727
AK_2015_30	0.088434671	0.06235829	0.080431525	0.167911396	0.111379414	0.094330524	0.040615829	0	0.086953671	0.092634585	0.053358982	0.025848834	0.086886065
AK_2015_31	0.04022008	0.08624759	0.049122863	0.108009967	0.054310263	0.048940492	0.082925578	0.086953671	0	0.032414949	0.060286179	0.074201942	0.078972781
AK_2015_32	0.037980783	0.094614208	0.043179257	0.094806227	0.053096778	0.042371191	0.102313763	0.092634585	0.032414949	0	0.063734848	0.086765292	0.073760769
AK_2015_33	0.065818895	0.06648601	0.05566458	0.121435996	0.087351912	0.067067035	0.071988924	0.053358982	0.060286179	0.063734848	0	0.052281365	0.072300518
AK_2015_34	0.077621069	0.056191127	0.072739039	0.162637298	0.105622073	0.087115746	0.050906867	0.025848834	0.074201942	0.086765292	0.052281365	0	0.079056813
AK_2015_35	0.082127206	0.055541978	0.063202102	0.146399116	0.057024346	0.04861631	0.088370727	0.086886065	0.078972781	0.073760769	0.072300518	0.079056813	0
