	AK_2015_1	AK_2015_10	AK_2015_11	AK_2015_12	AK_2015_13	AK_2015_14	AK_2015_15	AK_2015_16	AK_2015_17	AK_2015_18	AK_2015_19	AK_2015_2	AK_2015_20	AK_2015_21	AK_2015_22	AK_2015_23	AK_2015_24	AK_2015_25	AK_2015_26	AK_2015_27	AK_2015_28	AK_2015_29	AK_2015_3	AK_2015_30	AK_2015_31	AK_2015_32	AK_2015_33	AK_2015_34	AK_2015_35	AK_2015_36	AK_2015_37	AK_2015_38	AK_2015_39	AK_2015_4	AK_2015_40	AK_2015_41	AK_2015_42	AK_2015_43	AK_2015_44	AK_2015_45	AK_2015_46	AK_2015_47	AK_2015_48	AK_2015_5	AK_2015_6	AK_2015_7	AK_2015_8	AK_2015_9
AK_2015_1	0	0.185440567	0.146245288	0.273071606	0.267081046	0.315246247	0.332731075	0.294678696	0.285341054	0.339958604	0.330805047	0.112880873	0.32354767	0.345286122	0.279128005	0.344028542	0.29450135	0.345803106	0.39979895	0.327759387	0.318214686	0.294910658	0.274640259	0.32110522	0.329542153	0.347548647	0.324173064	0.327514007	0.308775119	0.22464246	0.163516487	0.2733189	0.216287271	0.180180255	0.254714392	0.189345157	0.314888156	0.240369516	0.429215862	0.275195666	0.31729316	0.365525256	0.289456758	0.075132154	0.133737399	0.264587082	0.183668442	0.22357785
AK_2015_10	0.185440567	0	0.117598789	0.203235975	0.131770933	0.235525666	0.212468646	0.198816496	0.164164152	0.216348963	0.210103272	0.147093728	0.259495561	0.223234661	0.209029137	0.251871509	0.229914115	0.27406347	0.275867115	0.243311	0.248394628	0.225555893	0.153324323	0.254309453	0.239384196	0.255719839	0.241702247	0.263746296	0.249492467	0.120206855	0.077829257	0.228492167	0.096399261	0.12597282	0.128080718	0.1742932	0.263352275	0.128600223	0.30486828	0.193386686	0.192944357	0.238096988	0.223983511	0.168438978	0.213249915	0.204274915	0.107744035	0.094447293
AK_2015_11	0.146245288	0.117598789	0	0.159312354	0.137361119	0.200116891	0.218503394	0.172447146	0.163047413	0.219263699	0.214055535	0.15173771	0.217853793	0.229801173	0.172621621	0.217020241	0.186853544	0.226553579	0.27733664	0.211724453	0.203750799	0.174018903	0.224630624	0.205310496	0.20317982	0.225297241	0.202363048	0.21039775	0.201924411	0.107460045	0.077606711	0.186671153	0.1397101	0.138244922	0.130998709	0.093485397	0.220516494	0.10741682	0.306276465	0.155040452	0.188838586	0.238732334	0.181108267	0.086787806	0.138307274	0.160991637	0.074391283	0.111359828
AK_2015_12	0.273071606	0.203235975	0.159312354	0	0.113436458	0.072339602	0.182822858	0.064878685	0.108717796	0.144018886	0.130818733	0.292398618	0.085045859	0.125797216	0.076555677	0.107558391	0.064923333	0.101231001	0.181976451	0.114014729	0.105288387	0.045015435	0.302533608	0.06019889	0.088288863	0.104462822	0.070105922	0.067979019	0.094189558	0.110340319	0.168409813	0.083179656	0.147628593	0.275802909	0.139685161	0.118907314	0.074336972	0.102158501	0.219271142	0.038496805	0.091723384	0.143089609	0.061177092	0.226561163	0.171389091	0.179891484	0.133238152	0.132857244
AK_2015_13	0.267081046	0.131770933	0.137361119	0.113436458	0	0.131828805	0.166266288	0.091882217	0.082398165	0.146008716	0.122277455	0.257861068	0.166544605	0.118297891	0.155306981	0.145013258	0.15393488	0.165678155	0.172004637	0.161411327	0.169138005	0.144668787	0.239941848	0.156155439	0.132664583	0.15079634	0.130466383	0.154960738	0.181102952	0.071507295	0.134631648	0.192260657	0.076917404	0.229158667	0.06493049	0.177174099	0.178169567	0.051455447	0.206819673	0.097487666	0.079823539	0.115723726	0.159294557	0.222050558	0.212402433	0.170636952	0.100500128	0.064160429
AK_2015_14	0.315246247	0.235525666	0.200116891	0.072339602	0.131828805	0	0.158091697	0.112598631	0.149465776	0.135910833	0.10223178	0.3344914	0.041735244	0.072149809	0.068771967	0.095814279	0.088464204	0.091588986	0.154196045	0.121589127	0.10463538	0.07239068	0.342700263	0.051353669	0.093584274	0.100922588	0.052159122	0.064183899	0.101136413	0.146565777	0.211743176	0.108703722	0.173307698	0.316399196	0.186835133	0.171183036	0.070442133	0.124504429	0.184299777	0.056353338	0.099595238	0.115024872	0.06659292	0.270684129	0.193347166	0.1671373	0.166237369	0.159937682
AK_2015_15	0.332731075	0.212468646	0.218503394	0.182822858	0.166266288	0.158091697	0	0.167276746	0.124585274	0.096764754	0.114019063	0.329812409	0.190501522	0.126006596	0.138983729	0.138009319	0.164445021	0.150087144	0.117867196	0.126275396	0.124345387	0.179990663	0.323311991	0.183217549	0.12404165	0.123040403	0.144816629	0.172350776	0.141341334	0.176126779	0.217910038	0.187914088	0.217400836	0.307146973	0.172880009	0.199033917	0.199089853	0.206489278	0.141555495	0.18188908	0.111295809	0.072792234	0.155391623	0.295814709	0.214259557	0.08994072	0.182049185	0.217617511
AK_2015_16	0.294678696	0.198816496	0.172447146	0.064878685	0.091882217	0.112598631	0.167276746	0	0.076893042	0.129284384	0.142886794	0.291491289	0.133842664	0.133372886	0.11450993	0.092676021	0.10467432	0.099970853	0.159644936	0.102494064	0.107493568	0.098166137	0.297119473	0.111547733	0.074111504	0.086569475	0.080508604	0.104440723	0.111252899	0.105836191	0.170489604	0.141475864	0.138883729	0.272057349	0.104853492	0.158494651	0.12718567	0.092904838	0.195307631	0.063997074	0.073147786	0.122207461	0.1109325	0.254317778	0.20565015	0.167346241	0.138512415	0.120791541
AK_2015_17	0.285341054	0.164164152	0.163047413	0.108717796	0.082398165	0.149465776	0.124585274	0.076893042	0	0.076316287	0.132224823	0.279761465	0.171002729	0.139447427	0.132390881	0.111797279	0.123666525	0.126187032	0.140841723	0.098863184	0.108566802	0.135185172	0.271451858	0.158035629	0.095228865	0.109721942	0.12690382	0.145490657	0.12539258	0.093912244	0.162197972	0.167941609	0.131598742	0.256071957	0.075537753	0.149504209	0.179153874	0.103267307	0.168288917	0.108418295	0.062023597	0.10009519	0.136716734	0.247822522	0.199837706	0.1425918	0.129288614	0.11376416
AK_2015_18	0.339958604	0.216348963	0.219263699	0.144018886	0.146008716	0.135910833	0.096764754	0.129284384	0.076316287	0	0.129144534	0.333895765	0.157626979	0.127634291	0.117064124	0.081420986	0.123906349	0.09017286	0.0878371	0.074019216	0.075276026	0.139147371	0.327456411	0.143216413	0.075565825	0.063235202	0.109470003	0.132810608	0.106070266	0.152754371	0.219404838	0.166775038	0.195287092	0.31172294	0.136952745	0.196684086	0.163469637	0.172120091	0.114086459	0.153197696	0.082786598	0.090476401	0.121540883	0.301833066	0.233326251	0.137934252	0.189299116	0.175229336
