#SampleID	SampleType	SamplingDate	Resource_ID	Resource_sex	Time_point	Sample_Taxon	observed_otus	shannon_div	pielou_e	faith_pd	Log2(observed_otus)	Log2(shannon_div)	Log2(pielou_e)	Log2(faith_pd)	PCoA1	PCoA2
AK_2015_23	Larvae	2.Aug.2015	SC_4	Female	T1	L_illustris	51	3.583505268	0.631741284	2.898252132	5.672425342	1.841371475	-0.66259424	1.535183107	-0.089369272	0.011167889
AK_2015_24	Larvae	4.Aug.2015	SC_2	Male	T2	C_vicina	54	3.379689109	0.587272837	2.869289015	5.754887502	1.756890542	-0.767897184	1.520693294	-0.052662897	-0.049618878
AK_2015_25	Larvae	4.Aug.2015	SC_4	Female	T2	L_illustris	44	2.812113612	0.515092744	2.763431037	5.459431619	1.491654882	-0.957095878	1.46646061	-0.105662732	-0.010950935
AK_2015_26	Larvae	4.Aug.2015	SC_22	Male	T1	L_illustris	53	3.493682776	0.609939123	2.658948236	5.727920455	1.804748618	-0.713262838	1.410855691	-0.13099794	0.076479816
AK_2015_27	Larvae	4.Aug.2015	SC_22	Male	T1	C_vicina	57	3.544728097	0.607713859	3.281260326	5.832890014	1.825674968	-0.718535902	1.714250058	-0.079006562	0.001571792
AK_2015_28	Larvae	4.Aug.2015	SC_23	Female	T1	L_illustris	50	3.70419533	0.656323479	2.69107538	5.64385619	1.889160177	-0.607521051	1.428182803	-0.080320753	-0.016694195
AK_2015_29	Larvae	5.Aug.2015	SC_1	Male	T3	C_vicina	62	3.45427927	0.580141986	3.716637032	5.95419631	1.788384726	-0.785522061	1.893997801	-0.041536839	-0.049818894
AK_2015_30	Larvae	5.Aug.2015	SC_2	Male	T3	C_vicina	59	2.571301358	0.437099674	3.180678137	5.882643049	1.362498705	-1.193965793	1.669334388	-0.074954131	-0.054975967
AK_2015_31	Larvae	5.Aug.2015	SC_3	Female	T3	C_vicina	71	3.979836707	0.64715453	3.468469263	6.14974712	1.992709238	-0.627817849	1.7942991	-0.079201498	0.00931515
AK_2015_32	Larvae	5.Aug.2015	SC_22	Male	T2	C_vicina	55	3.635053553	0.628754088	2.505719236	5.781359714	1.861976619	-0.66943222	1.325224771	-0.098661971	0.013992407
AK_2015_33	Larvae	5.Aug.2015	SC_23	Female	T2	L_illustris	47	3.149889458	0.567078778	2.351433521	5.554588852	1.6553012	-0.818378928	1.233540545	-0.081788891	-0.018566857
AK_2015_34	Larvae	7.Aug.2015	SC_24	Female	T3	C_vicina	46	2.693835656	0.487699003	2.26167467	5.523561956	1.429661838	-1.035937072	1.17739142	-0.084760633	-0.048446465
AK_2015_35	Larvae	7.Aug.2015	SC_25	Female	T3	C_vicina	55	3.328730341	0.575769457	2.825555509	5.781359714	1.734972003	-0.796436835	1.498534532	-0.073968022	-0.046090391
AK_2015_1	Carcass	2.Aug.2015	SC_1	Male	T1	O_keta	47	3.809658214	0.685857822	2.367499745	5.554588852	1.929661571	-0.544018557	1.24336427	0.225946204	-0.089194457
AK_2015_10	Carcass	4.Aug.2015	SC_25	Female	T1	O_keta	95	5.12995159	0.78083171	4.151629618	6.569855608	2.358945212	-0.356916452	2.053677741	0.137563542	0.068607733
AK_2015_11	Carcass	5.Aug.2015	SC_1	Male	T3	O_keta	54	4.484516487	0.779253545	2.666333223	5.754887502	2.164952445	-0.359835282	1.414857091	0.116869651	-0.022612621
AK_2015_12	Carcass	5.Aug.2015	SC_2	Male	T3	O_keta	60	3.278317507	0.554998853	3.00716924	5.906890596	1.712955587	-0.849443305	1.588406063	-0.024434011	-0.038966673
AK_2015_13	Carcass	5.Aug.2015	SC_3	Female	T3	O_keta	69	4.376749883	0.716498708	3.318634322	6.108524457	2.129859941	-0.480963992	1.730589669	0.020570642	0.064893252
AK_2015_14	Carcass	5.Aug.2015	SC_4	Female	T3	O_keta	46	2.995999155	0.542403467	2.632429004	5.523561956	1.583037217	-0.882561695	1.396394623	-0.068774729	-0.033551242
AK_2015_15	Carcass	5.Aug.2015	SC_22	Male	T2	O_keta	73	4.36850625	0.705756069	4.19753826	6.189824559	2.127140055	-0.502758465	2.069543475	-0.057803139	0.048880544
AK_2015_16	Carcass	5.Aug.2015	SC_23	Female	T2	O_keta	61	3.657948775	0.616778078	3.084809195	5.930737338	1.871034872	-0.697176606	1.625181257	-0.029145259	0.012924315
AK_2015_17	Carcass	5.Aug.2015	SC_24	Female	T2	O_keta	83	4.585255807	0.719251364	3.815071744	6.375039431	2.197002223	-0.475432043	1.931710188	-0.01257956	0.0532231
AK_2015_18	Carcass	5.Aug.2015	SC_25	Female	T2	O_keta	62	4.087748862	0.68653243	3.455449412	5.95419631	2.031306565	-0.542600224	1.788873358	-0.075871549	0.04642397
AK_2015_19	Carcass	7.Aug.2015	SC_22	Male	T3	O_keta	57	3.822007044	0.655251005	2.873842128	5.832890014	1.934330437	-0.609880434	1.522980811	-0.049374391	0.034140661
AK_2015_2	Carcass	2.Aug.2015	SC_2	Male	T1	O_keta	54	4.225791611	0.734296128	2.655919367	5.754887502	2.079221625	-0.445566102	1.409211348	0.252868779	-0.003532181
AK_2015_20	Carcass	7.Aug.2015	SC_23	Female	T3	O_keta	34	2.060600802	0.405035057	2.390927165	5.087462841	1.04306504	-1.303881312	1.257570182	-0.073056394	-0.059175038
